poleId,height,heightNumeric,diameter,poleType,status,latitude,longitude,ponNumber,zoneNumber,dropCount
LAW.P.D975,7m,7.0,140-160mm,feeder,Permission not granted,-26.3819442,27.80348106,197,18,0
LAW.P.D976,7m,7.0,140-160mm,feeder,Permission not granted,-26.3800082,27.804674004120397,198,18,0
LAW.P.D977,7m,7.0,140-160mm,feeder,Permission not granted,-26.37987486,27.80464823,198,18,0
LAW.P.D978,7m,7.0,120-140mm,distribution,Permission not granted,-26.3798958,27.804514943351798,198,18,0
LAW.P.D979,7m,7.0,120-140mm,distribution,Permission not granted,-26.37993613,27.804258308517003,198,18,0
LAW.P.D980,7m,7.0,120-140mm,distribution,Permission not granted,-26.37997646,27.80400167,198,18,0
LAW.P.D981,7m,7.0,120-140mm,distribution,Permission not granted,-26.37999662,27.803873355906898,198,18,0
LAW.P.D982,7m,7.0,120-140mm,distribution,Permission not granted,-26.38003694,27.80361672,198,18,0
LAW.P.D983,7m,7.0,140-160mm,feeder,Permission not granted,-26.3800571,27.8034884,198,18,0
LAW.P.D984,7m,7.0,140-160mm,feeder,Permission not granted,-26.38023497,27.803522856554196,198,18,0
LAW.P.D985,7m,7.0,140-160mm,feeder,Permission not granted,-26.3803221,27.80358038,198,18,0
LAW.P.D986,7m,7.0,140-160mm,feeder,Permission not granted,-26.38049547,27.80361404,198,18,0
LAW.P.D987,7m,7.0,120-140mm,distribution,Permission not granted,-26.38053581,27.803357405239097,198,18,0
LAW.P.D988,7m,7.0,140-160mm,feeder,Permission not granted,-26.38055743,27.803219978139598,198,18,0
LAW.P.D989,7m,7.0,120-140mm,distribution,Permission not granted,-26.38071493,27.80326556,198,18,0
LAW.P.D990,7m,7.0,120-140mm,distribution,Permission not granted,-26.38097389,27.803335471092243,198,18,0
LAW.P.D991,7m,7.0,140-160mm,feeder,Permission not granted,-26.38117776,27.803374972390497,198,18,0
LAW.P.D992,7m,7.0,140-160mm,feeder,Permission not granted,-26.38124095,27.803258006254115,198,18,0
LAW.P.D993,7m,7.0,120-140mm,distribution,Permission not granted,-26.38007727,27.80336009,198,18,0
LAW.P.D994,7m,7.0,140-160mm,feeder,Permission not granted,-26.38011943,27.803092,198,18,0
LAW.P.D995,7m,7.0,120-140mm,distribution,Permission not granted,-26.38020698,27.80301114,198,18,0
LAW.P.D996,7m,7.0,120-140mm,distribution,Permission not granted,-26.38038731,27.8028444,198,18,0
LAW.P.D997,7m,7.0,120-140mm,distribution,Permission not granted,-26.38056762,27.80267768,198,18,0
LAW.P.D998,7m,7.0,120-140mm,distribution,Permission not granted,-26.38065778,27.80259432,198,18,0
LAW.P.D999,7m,7.0,120-140mm,distribution,Permission not granted,-26.38083809,27.8024276,198,18,0
